season,group,value,bank
4-2022,tong-tai-san,"607,875,185,000",ACB
4-2022,tien-cho-vay,"417,388,795,000",ACB
4-2022,dau-tu-chung-khoan,"76,666,121,000",ACB
4-2022,gop-von-va-dau-tu-dai-han,"146,814,000",ACB
4-2022,tien-gui,"473,955,521,000",ACB
4-2022,von-va-cac-quy,"58,438,663,000",ACB
4-2022,tong-doanh-thu(*),"38,674,971,000",BID
4-2022,tong-loi-nhuan-truoc-thue,"5,380,885,000",BID
4-2022,tong-chi-phi,"29,874,059,000",BID
4-2022,loi-nhuan-rong(**)(**),"4,186,385,000",BID
4-2022,tong-tai-san,"2,120,527,692,000",BID
4-2022,tien-cho-vay,"1,540,024,418,000",BID
4-2022,dau-tu-chung-khoan,"237,337,870,000",BID
4-2022,gop-von-va-dau-tu-dai-han,"2,977,388,000",BID
4-2022,tien-gui,"1,611,917,164,000",BID
4-2022,von-va-cac-quy,"99,486,238,000",BID
4-2022,tong-doanh-thu(*),"38,674,971,000",CTG
4-2022,tong-loi-nhuan-truoc-thue,"5,380,885,000",CTG
4-2022,tong-chi-phi,"29,874,059,000",CTG
4-2022,loi-nhuan-rong(**)(**),"4,186,385,000",CTG
4-2022,tong-tai-san,"2,120,527,692,000",CTG
4-2022,tien-cho-vay,"1,540,024,418,000",CTG
4-2022,dau-tu-chung-khoan,"237,337,870,000",CTG
4-2022,gop-von-va-dau-tu-dai-han,"2,977,388,000",CTG
4-2022,tien-gui,"1,611,917,164,000",CTG
4-2022,von-va-cac-quy,"99,486,238,000",CTG
4-2022,tong-doanh-thu(*),"3,896,471,000",EIB
4-2022,tong-loi-nhuan-truoc-thue,"528,318,000",EIB
4-2022,tong-chi-phi,"3,485,096,000",EIB
4-2022,loi-nhuan-rong(**)(**),"403,592,000",EIB
4-2022,tong-tai-san,"185,045,048,000",EIB
4-2022,tien-cho-vay,"130,505,614,000",EIB
4-2022,dau-tu-chung-khoan,"16,074,579,000",EIB
4-2022,tien-gui,"158,035,897,000",EIB
4-2022,von-va-cac-quy,"20,479,900,000",EIB
4-2022,tong-doanh-thu(*),"10,919,364,000",HDB
4-2022,tong-loi-nhuan-truoc-thue,"2,251,952,000",HDB
4-2022,tong-chi-phi,"7,652,502,000",HDB
4-2022,loi-nhuan-rong(**)(**),"1,736,284,000",HDB
4-2022,tong-tai-san,"416,273,023,000",HDB
4-2022,tien-cho-vay,"272,666,213,000",HDB
4-2022,dau-tu-chung-khoan,"50,587,006,000",HDB
4-2022,gop-von-va-dau-tu-dai-han,"144,023,000",HDB
4-2022,tien-gui,"265,237,814,000",HDB
4-2022,von-va-cac-quy,"36,953,538,000",HDB
4-2022,tong-doanh-thu(*),"7,915,212,000",LVB
4-2022,tong-loi-nhuan-truoc-thue,"867,398,000",LVB
4-2022,tong-chi-phi,"5,726,765,000",LVB
4-2022,loi-nhuan-rong(**)(**),"667,898,000",LVB
4-2022,tong-tai-san,"327,745,847,000",LVB
4-2022,tien-cho-vay,"236,165,069,000",LVB
4-2022,dau-tu-chung-khoan,"42,573,570,000",LVB
4-2022,tien-gui,"253,582,472,000",LVB
4-2022,von-va-cac-quy,"24,055,154,000",LVB
4-2022,tong-doanh-thu(*),"55,098,826,000",MBB
4-2022,tong-loi-nhuan-truoc-thue,"16,527,259,000",MBB
4-2022,tong-chi-phi,"33,539,933,000",MBB
4-2022,loi-nhuan-rong(**),"12,697,075,000",MBB
4-2022,tong-tai-san,"607,140,419,000",MBB
4-2022,tien-cho-vay,"375,463,638,000",MBB
4-2022,dau-tu-chung-khoan,"136,381,518,000",MBB
4-2022,gop-von-va-dau-tu-dai-han,"803,208,000",MBB
4-2022,tien-gui,"398,562,796,000",MBB
4-2022,von-va-cac-quy,"59,574,835,000",MBB
4-2022,tong-doanh-thu(*),"4,538,777,000",MSB
4-2022,tong-loi-nhuan-truoc-thue,"962,794,000",MSB
4-2022,tong-chi-phi,"3,488,166,000",MSB
4-2022,loi-nhuan-rong(**)(**),"772,310,000",MSB
4-2022,tong-tai-san,"213,393,858,000",MSB
4-2022,tien-cho-vay,"130,523,502,000",MSB
4-2022,dau-tu-chung-khoan,"31,556,417,000",MSB
4-2022,gop-von-va-dau-tu-dai-han,"10,036,000",MSB
4-2022,tien-gui,"146,460,644,000",MSB
4-2022,von-va-cac-quy,"26,653,998,000",MSB
4-2022,tong-doanh-thu(*),"4,746,786,990",OCB
4-2022,tong-loi-nhuan-truoc-thue,"1,740,639,403",OCB
4-2022,tong-chi-phi,"2,975,816,466",OCB
4-2022,loi-nhuan-rong(**)(**),"1,391,719,657",OCB
4-2022,tong-tai-san,"193,994,237,851",OCB
4-2022,tien-cho-vay,"122,012,599,940",OCB
4-2022,dau-tu-chung-khoan,"37,475,942,326",OCB
4-2022,tien-gui,"122,270,028,497",OCB
4-2022,von-va-cac-quy,"25,272,267,891",OCB
4-2022,tong-doanh-thu(*),"14,671,206,000",STB
4-2022,tong-loi-nhuan-truoc-thue,"1,899,038,000",STB
4-2022,tong-chi-phi,"9,768,015,000",STB
4-2022,loi-nhuan-rong(**)(**),"1,751,123,000",STB
4-2022,tong-tai-san,"591,994,201,000",STB
4-2022,tien-cho-vay,"438,953,082,000",STB
4-2022,dau-tu-chung-khoan,"68,844,379,000",STB
4-2022,gop-von-va-dau-tu-dai-han,"88,812,000",STB
4-2022,tien-gui,"476,470,173,000",STB
4-2022,von-va-cac-quy,"38,626,996,000",STB
4-2022,tong-doanh-thu(*),"4,877,140,000",SSB
4-2022,tong-loi-nhuan-truoc-thue,"1,052,647,000",SSB
4-2022,tong-chi-phi,"3,594,318,000",SSB
4-2022,loi-nhuan-rong(**)(**),"837,412,000",SSB
4-2022,tong-tai-san,"231,423,056,000",SSB
4-2022,tien-cho-vay,"157,561,937,000",SSB
4-2022,dau-tu-chung-khoan,"12,634,030,000",SSB
4-2022,gop-von-va-dau-tu-dai-han,"61,313,000",SSB
4-2022,tien-gui,"159,813,036,000",SSB
4-2022,von-va-cac-quy,"26,232,220,000",SSB
4-2022,tong-doanh-thu(*),"16,704,655,000",TCB
4-2022,tong-loi-nhuan-truoc-thue,"4,746,223,000",TCB
4-2022,tong-chi-phi,"10,845,510,000",TCB
4-2022,loi-nhuan-rong(**)(**),"3,544,272,000",TCB
4-2022,tong-tai-san,"699,032,544,000",TCB
4-2022,tien-cho-vay,"433,573,416,000",TCB
4-2022,dau-tu-chung-khoan,"104,612,954,000",TCB
4-2022,gop-von-va-dau-tu-dai-han,"12,813,000",TCB
4-2022,tien-gui,"419,697,523,000",TCB
4-2022,von-va-cac-quy,"112,296,051,000",TCB
4-2022,tong-doanh-thu(*),"7,378,123,000",TPB
4-2022,tong-loi-nhuan-truoc-thue,"1,902,743,000",TPB
4-2022,tong-chi-phi,"5,319,423,000",TPB
4-2022,loi-nhuan-rong(**)(**),"1,519,328,000",TPB
4-2022,tong-tai-san,"328,634,007,000",TPB
4-2022,tien-cho-vay,"177,471,842,000",TPB
4-2022,dau-tu-chung-khoan,"74,376,644,000",TPB
4-2022,tien-gui,"242,225,727,000",TPB
4-2022,von-va-cac-quy,"32,239,052,000",TPB
4-2022,tong-doanh-thu(*),"30,411,967,000",VCB
4-2022,tong-loi-nhuan-truoc-thue,"12,419,095,000",VCB
4-2022,tong-chi-phi,"17,504,166,000",VCB
4-2022,loi-nhuan-rong(**)(**),"9,928,277,000",VCB
4-2022,tong-tai-san,"1,814,188,209,000",VCB
4-2022,tien-cho-vay,"1,185,815,975,000",VCB
4-2022,dau-tu-chung-khoan,"197,670,899,000",VCB
4-2022,gop-von-va-dau-tu-dai-han,"2,193,516,000",VCB
4-2022,tien-gui,"1,465,509,057,000",VCB
4-2022,von-va-cac-quy,"137,900,063,000",VCB
4-2022,tong-doanh-thu(*),"9,174,359,000",VIB
4-2022,tong-loi-nhuan-truoc-thue,"2,767,034,000",VIB
4-2022,tong-chi-phi,"4,338,786,000",VIB
4-2022,loi-nhuan-rong(**)(**),"2,216,919,000",VIB
4-2022,tong-tai-san,"343,069,186,000",VIB
4-2022,tien-cho-vay,"256,682,801,000",VIB
4-2022,dau-tu-chung-khoan,"40,278,720,000",VIB
4-2022,gop-von-va-dau-tu-dai-han,"69,457,000",VIB
4-2022,tien-gui,"246,081,651,000",VIB
4-2022,von-va-cac-quy,"32,651,045,000",VIB
4-2022,tong-doanh-thu(*),"63,182,339,000",VPB
4-2022,tong-loi-nhuan-truoc-thue,"14,363,770,000",VPB
4-2022,tong-chi-phi,"32,683,152,000",VPB
4-2022,loi-nhuan-rong(**),"11,721,208,000",VPB
4-2022,tong-tai-san,"547,409,439,000",VPB
4-2022,tien-cho-vay,"372,139,263,000",VPB
4-2022,dau-tu-chung-khoan,"82,769,372,000",VPB
4-2022,gop-von-va-dau-tu-dai-han,"249,710,000",VPB
4-2022,tien-gui,"288,943,829,000",VPB
4-2022,von-va-cac-quy,"78,371,666,000",VPB
