season,group,value,bank
1-2022,gop-von-va-dau-tu-dai-han,"88,968,000",STB
1-2022,tien-gui,"465,206,520,000",STB
1-2022,von-va-cac-quy,"35,481,093,000",STB
1-2022,tong-doanh-thu(*),"3,697,545,000",SSB
1-2022,tong-loi-nhuan-truoc-thue,"1,306,399,000",SSB
1-2022,tong-chi-phi,"2,469,919,000",SSB
1-2022,loi-nhuan-rong(**)(**),"1,048,859,000",SSB
1-2022,tong-tai-san,"231,222,030,000",SSB
1-2022,tien-cho-vay,"150,042,004,000",SSB
1-2022,dau-tu-chung-khoan,"27,702,724,000",SSB
1-2022,gop-von-va-dau-tu-dai-han,"85,091,000",SSB
1-2022,tien-gui,"163,376,658,000",SSB
1-2022,von-va-cac-quy,"22,590,832,000",SSB
1-2022,tong-doanh-thu(*),"14,058,195,000",TCB
1-2022,tong-loi-nhuan-truoc-thue,"6,785,330,000",TCB
1-2022,tong-chi-phi,"6,774,175,000",TCB
1-2022,loi-nhuan-rong(**)(**),"5,504,614,000",TCB
1-2022,tong-tai-san,"615,270,328,000",TCB
1-2022,tien-cho-vay,"380,147,172,000",TCB
1-2022,dau-tu-chung-khoan,"124,000,486,000",TCB
1-2022,gop-von-va-dau-tu-dai-han,"12,813,000",TCB
1-2022,tien-gui,"389,263,428,000",TCB
1-2022,von-va-cac-quy,"97,701,916,000",TCB
1-2022,tong-doanh-thu(*),"5,582,062,000",TPB
1-2022,tong-loi-nhuan-truoc-thue,"1,644,591,000",TPB
1-2022,tong-chi-phi,"3,585,753,000",TPB
1-2022,loi-nhuan-rong(**)(**),"1,315,133,000",TPB
1-2022,tong-tai-san,"292,827,078,000",TPB
1-2022,tien-cho-vay,"154,112,720,000",TPB
1-2022,dau-tu-chung-khoan,"62,404,684,000",TPB
1-2022,tien-gui,"192,877,726,000",TPB
1-2022,von-va-cac-quy,"25,987,981,000",TPB
1-2022,tong-doanh-thu(*),"23,652,295,000",VCB
1-2022,tong-loi-nhuan-truoc-thue,"9,950,256,000",VCB
1-2022,tong-chi-phi,"12,966,328,000",VCB
1-2022,loi-nhuan-rong(**)(**),"7,962,184,000",VCB
1-2022,tong-tai-san,"1,462,748,158,000",VCB
1-2022,tien-cho-vay,"1,068,350,966,000",VCB
1-2022,dau-tu-chung-khoan,"175,250,603,000",VCB
1-2022,gop-von-va-dau-tu-dai-han,"2,366,013,000",VCB
1-2022,tien-gui,"1,255,258,436,000",VCB
1-2022,von-va-cac-quy,"116,985,268,000",VCB
1-2022,tong-doanh-thu(*),"7,041,886,000",VIB
1-2022,tong-loi-nhuan-truoc-thue,"2,278,915,000",VIB
1-2022,tong-chi-phi,"4,286,947,000",VIB
1-2022,loi-nhuan-rong(**)(**),"1,823,136,000",VIB
1-2022,tong-tai-san,"333,850,243,000",VIB
1-2022,tien-cho-vay,"229,518,543,000",VIB
1-2022,dau-tu-chung-khoan,"51,388,186,000",VIB
1-2022,gop-von-va-dau-tu-dai-han,"69,545,000",VIB
1-2022,tien-gui,"227,691,630,000",VIB
1-2022,von-va-cac-quy,"26,011,471,000",VIB
1-2022,tong-doanh-thu(*),"49,463,730,000",VPB
1-2022,tong-loi-nhuan-truoc-thue,"9,198,508,000",VPB
1-2022,tong-chi-phi,"18,467,553,000",VPB
1-2022,loi-nhuan-rong(**),"7,355,568,000",VPB
1-2022,tong-tai-san,"323,291,119,000",VPB
1-2022,tien-cho-vay,"223,195,859,000",VPB
1-2022,dau-tu-chung-khoan,"56,128,829,000",VPB
1-2022,gop-von-va-dau-tu-dai-han,"190,654,000",VPB
1-2022,tien-gui,"191,996,065,000",VPB
1-2022,von-va-cac-quy,"34,750,069,000",VPB
2-2022,tong-doanh-thu(*),"11,205,814,000",ACB
2-2022,tong-loi-nhuan-truoc-thue,"4,914,360,000",ACB
2-2022,tong-chi-phi,"6,495,787,000",ACB
2-2022,loi-nhuan-rong(**)(**),"3,943,148,000",ACB
2-2022,tong-tai-san,"543,736,728,000",ACB
2-2022,tien-cho-vay,"399,647,525,000",ACB
2-2022,dau-tu-chung-khoan,"65,970,354,000",ACB
2-2022,gop-von-va-dau-tu-dai-han,"158,000,000",ACB
2-2022,tien-gui,"435,538,260,000",ACB
2-2022,von-va-cac-quy,"52,066,031,000",ACB
2-2022,tong-doanh-thu(*),"33,899,068,000",BID
2-2022,tong-loi-nhuan-truoc-thue,"6,570,351,000",BID
2-2022,tong-chi-phi,"21,572,286,000",BID
2-2022,loi-nhuan-rong(**)(**),"5,215,695,000",BID
2-2022,tong-tai-san,"1,979,416,229,000",BID
2-2022,tien-cho-vay,"1,508,289,444,000",BID
2-2022,dau-tu-chung-khoan,"216,355,199,000",BID
2-2022,gop-von-va-dau-tu-dai-han,"2,969,936,000",BID
2-2022,tien-gui,"1,569,388,955,000",BID
2-2022,von-va-cac-quy,"91,012,897,000",BID
2-2022,tong-doanh-thu(*),"29,561,419,000",CTG
2-2022,tong-loi-nhuan-truoc-thue,"5,785,062,000",CTG
2-2022,tong-chi-phi,"18,937,883,000",CTG
2-2022,loi-nhuan-rong(**)(**),"4,645,413,000",CTG
2-2022,tong-tai-san,"1,691,061,895,000",CTG
2-2022,tien-cho-vay,"1,258,819,672,000",CTG
2-2022,dau-tu-chung-khoan,"179,325,513,000",CTG
2-2022,gop-von-va-dau-tu-dai-han,"3,500,567,000",CTG
2-2022,tien-gui,"1,301,145,802,000",CTG
2-2022,von-va-cac-quy,"102,012,395,000",CTG
2-2022,tong-doanh-thu(*),"3,472,556,000",EIB
2-2022,tong-loi-nhuan-truoc-thue,"1,093,677,000",EIB
2-2022,tong-chi-phi,"2,457,236,000",EIB
2-2022,loi-nhuan-rong(**)(**),"871,387,000",EIB
2-2022,tong-tai-san,"174,582,486,000",EIB
2-2022,tien-cho-vay,"124,528,116,000",EIB
2-2022,dau-tu-chung-khoan,"12,795,285,000",EIB
2-2022,tien-gui,"150,592,788,000",EIB
2-2022,von-va-cac-quy,"19,072,590,000",EIB
2-2022,tong-doanh-thu(*),"9,144,927,000",HDB
2-2022,tong-loi-nhuan-truoc-thue,"2,776,168,000",HDB
